time,temp,snr,rssi
9,17,6,-52
14,17,6,-52
20,17,5,-52
25,17,6,-52
30,17,5,-52
36,17,5,-52
41,17,6,-52
47,17,5,-52
52,17,6,-52
57,17,5,-52
63,17,5,-52
68,17,6,-52
74,17,6,-52
79,17,6,-52
84,17,6,-52
90,17,6,-52
95,17,5,-52
101,17,7,-52
106,17,6,-52
111,17,6,-51
117,17,5,-52
122,17,6,-52
128,17,5,-52
133,17,6,-52
138,17,6,-52
144,17,6,-52
149,17,6,-52
155,17,6,-52
160,17,6,-52
165,17,5,-52
171,18,6,-52
176,18,7,-52
182,18,6,-52
187,18,7,-52
192,18,6,-52
198,18,6,-52
203,18,6,-52
209,18,6,-52
214,18,6,-52
219,18,7,-52
225,18,6,-52
230,18,6,-52
236,18,6,-51
241,18,6,-52
246,18,6,-52
252,18,6,-52
257,18,7,-52
263,18,7,-52
268,18,7,-52
273,18,6,-52
279,18,6,-52
284,18,6,-52
290,18,6,-52
295,18,6,-52
300,18,6,-52
306,18,6,-52
311,18,6,-52
317,18,7,-52
322,18,6,-52
327,18,6,-52
342,18,6,-52
347,18,6,-52
353,18,7,-52
358,18,6,-52
363,18,6,-52
369,18,6,-52
374,18,6,-52
380,18,7,-52
385,18,6,-52
390,18,5,-52
396,18,6,-52
401,18,6,-52
407,18,6,-51
412,18,7,-52
417,18,6,-52
423,18,7,-52
428,18,7,-51
434,18,6,-52
439,18,7,-52
444,18,6,-52
450,18,6,-52
455,18,7,-52
461,18,5,-52
466,18,6,-52
471,18,6,-52
477,18,6,-52
482,18,6,-52
488,18,7,-52
493,18,6,-52
498,18,7,-52
504,18,6,-52
509,18,7,-52
515,18,6,-52
520,18,6,-52
525,19,6,-51
531,19,6,-51
536,18,7,-52
542,19,6,-51
547,19,6,-51
553,19,7,-51
558,19,6,-51
563,19,6,-51
569,19,6,-51
574,19,7,-51
580,19,6,-51
585,19,7,-51
590,19,6,-51
596,18,6,-52
601,18,7,-52
607,18,7,-52
612,18,7,-52
617,18,6,-52
623,18,5,-52
628,18,7,-52
634,18,7,-52
639,18,6,-52
644,18,6,-52
650,19,7,-51
655,19,6,-51
661,19,6,-51
666,19,7,-51
671,19,7,-51
677,19,6,-51
682,19,7,-51
688,19,6,-51
693,19,7,-51
698,19,7,-51
704,19,6,-52
709,19,7,-51
715,19,6,-51
720,19,6,-51
725,19,7,-52
731,19,6,-51
736,19,6,-51
742,19,7,-51
747,19,7,-51
752,19,6,-51
758,19,6,-51
763,19,6,-51
769,19,6,-51
774,19,7,-51
779,19,6,-51
785,19,6,-51
790,19,7,-51
796,19,7,-51
801,19,7,-51
806,19,6,-51
812,19,7,-51
817,19,7,-51
823,19,6,-51
828,19,6,-51
833,19,6,-51
839,19,7,-51
844,19,6,-51
850,19,6,-51
855,19,6,-51
860,19,7,-51
866,19,6,-51
871,19,7,-51
877,19,6,-51
882,19,6,-51
887,19,6,-51
893,19,7,-51
898,19,6,-51
904,19,6,-51
909,19,7,-51
914,19,6,-51
920,19,6,-51
925,19,6,-51
931,19,7,-51
936,19,6,-51
941,19,6,-51
947,19,7,-51
952,19,6,-51
958,19,7,-51
963,19,7,-51
968,19,7,-51
974,19,6,-51
979,19,8,-51
985,19,7,-58
990,19,7,-52
995,19,6,-51
1001,19,7,-51
1006,19,7,-51
1012,19,6,-51
1017,19,7,-51
1022,19,6,-51
1028,19,7,-51
1033,19,6,-51
1039,19,6,-51
1044,19,7,-51
1049,19,6,-52
1055,19,6,-52
1060,19,6,-52
1066,19,6,-52
1071,19,7,-51
1076,19,6,-52
1082,19,7,-51
1087,19,7,-52
1093,19,7,-52
1098,19,7,-52
1103,19,6,-51
1109,19,7,-51
1114,19,7,-51
1120,19,6,-51
1125,19,6,-51
1130,19,6,-51
1136,19,6,-51
1141,19,7,-51
1147,19,7,-51
1152,19,6,-51
1157,19,6,-51
1163,19,7,-51
1168,19,7,-51
1174,19,6,-51
1179,19,7,-52
1185,19,6,-52
1190,19,5,-51
1195,19,6,-52
1201,19,6,-52
1206,19,7,-52
1212,19,7,-52
1217,19,6,-52
1222,19,8,-52
1228,19,7,-51
1233,19,7,-52
1239,19,9,-51
1244,19,6,-52
1249,19,6,-52
1255,19,6,-51
1260,19,6,-51
1266,19,6,-51
1271,19,6,-51
1276,19,7,-40
1282,19,7,-51
1287,19,7,-52
1293,19,6,-51
1298,19,7,-51
1303,19,7,-51
1309,19,6,-51
1314,19,6,-51
1320,19,6,-51
1325,19,7,-51
1330,19,6,-51
1336,19,7,-52
1341,19,7,-51
1347,19,6,-51
1352,19,6,-51
1357,19,7,-51
1363,19,6,-52
1368,19,7,-52
1374,19,7,-51
1379,19,6,-52
1384,19,6,-52
1390,19,6,-52
1395,19,7,-52
1401,19,7,-52
1406,19,6,-52
1411,19,6,-52
1417,19,6,-52
1422,19,6,-51
1428,19,6,-51
1433,19,6,-52
1438,19,6,-51
1444,19,6,-52
1449,19,7,-52
1455,19,7,-51
1460,19,6,-52
1465,19,6,-52
1471,19,7,-52
1476,19,6,-51
1482,19,6,-51
1487,19,7,-51
1492,19,6,-52
1498,19,6,-51
1503,19,7,-52
1509,19,7,-51
1514,19,6,-52
1519,19,6,-52
1525,19,6,-52
1530,19,6,-52
1536,19,7,-52
1541,19,6,-52
1546,19,6,-52
1552,19,6,-51
1557,19,7,-51
1563,19,6,-52
1568,19,7,-51
1573,19,7,-51
1579,19,6,-51
1584,19,6,-51
1590,19,7,-51
1595,19,7,-51
1600,19,6,-52
1606,19,7,-52
1611,19,7,-52
1617,19,7,-51
1622,19,7,-51
1627,19,6,-51
1633,19,6,-51
1638,19,7,-51
1644,19,6,-52
1649,19,7,-51
1654,19,6,-51
1660,19,7,-51
1665,19,6,-51
1671,19,6,-51
1676,19,6,-51
1681,19,6,-51
1687,19,6,-51
1692,19,6,-51
1698,19,7,-51
1703,19,6,-51
1708,19,7,-51
1714,19,6,-51
1719,19,7,-51
1725,19,7,-51
1730,19,6,-51
1735,19,6,-51
1741,19,7,-51
1746,19,6,-51
1752,19,7,-52
1757,19,7,-51
1762,19,7,-51
1768,19,7,-52
1773,19,7,-51
1779,19,6,-51
1784,19,6,-51
1790,19,7,-52
1795,19,7,-52
1800,19,6,-52
1806,19,6,-51
1811,19,7,-51
1817,19,7,-51
1822,19,7,-51
1827,19,7,-51
1833,19,6,-51
1838,19,7,-52
1844,19,6,-51
1849,19,6,-51
1854,19,6,-51
1860,19,6,-52
1865,19,7,-51
1871,19,6,-51
1876,19,6,-52
1881,19,6,-51
1887,19,7,-51
1892,19,7,-51
1898,19,6,-51
1903,19,6,-51
1908,19,7,-51
1914,19,6,-51
1919,19,6,-51
1925,19,6,-52
1930,19,7,-51
1935,19,7,-51
1941,19,6,-52
1946,19,6,-51
1952,19,7,-52
1957,19,6,-51
1962,19,6,-51
1968,19,6,-52
1973,19,7,-52
1979,19,6,-52
1984,19,6,-52
1989,19,7,-51
1995,19,7,-51
2000,19,7,-52
2006,19,6,-52
2011,19,6,-52
2016,19,7,-51
2022,19,7,-52
2027,19,6,-52
2033,19,7,-51
2038,19,7,-51
2043,19,7,-51
2049,19,6,-52
2054,19,7,-51
2060,19,6,-51
2065,19,6,-51
2070,19,6,-51
2076,19,7,-51
2081,19,6,-51
2087,19,7,-51
2092,19,6,-51
2097,19,7,-51
2103,19,7,-52
2108,19,6,-52
2114,19,7,-52
2119,19,7,-51
2124,19,6,-51
2130,19,7,-52
2135,19,6,-52
2141,19,7,-52
2146,19,7,-52
2151,19,6,-52
2157,19,6,-51
2162,19,7,-51
2168,19,6,-51
2173,19,7,-51
2178,19,6,-51
2184,19,7,-51
2189,19,6,-51
2195,19,6,-51
2200,19,6,-51
2205,19,6,-51
2211,19,7,-51
2216,19,6,-51
2222,19,7,-51
2227,19,7,-51
2232,19,6,-51
2238,19,7,-51
2243,19,7,-51
2249,19,7,-51
2254,19,7,-51
2259,19,7,-51
2265,19,6,-51
2270,19,7,-51
2276,19,6,-51
2281,19,7,-51
2286,19,6,-51
2292,19,6,-51
2297,19,8,-51
2303,19,7,-51
2308,19,6,-51
2313,19,6,-51
2319,19,6,-51
2324,19,7,-51
2330,19,7,-51
2335,19,6,-51
2340,19,6,-51
2346,19,6,-51
2351,19,6,-51
2357,19,6,-51
2362,19,7,-51
2367,19,6,-52
2373,19,7,-52
